genotype,substrate,batch,mu,mu_error,log2_PL_flux_norm,CdsA_mean,CdsA_std,FabA_mean,FabA_std,FabB_mean,FabB_std,FabD_mean,FabD_std,FabF_mean,FabF_std,FabG_mean,FabG_std,FabH_mean,FabH_std,FabI_mean,FabI_std,FabZ_mean,FabZ_std,LpxC_mean,LpxC_std,PlsB_mean,PlsB_std,PlsC_mean,PlsC_std
NCM3722_1,acetate,10,0.44322528150822,0.0171900152360857,-0.53865502488306,-0.758413996828429,0.127950353018391,-0.935180703686796,0.0647588396114162,-0.634587852260653,0.0625408942398107,-0.634140473806152,0.0971168765514395,-0.751827201327543,0.101156564646954,-0.721104755891,0.0830235242833861,,,-0.610066983342555,0.0618099556781934,-0.748230886173559,0.0447361421618686,,,-0.303223099343808,0.0781987602251965,-0.619132953827152,0.0835121292530702
NCM3722_1,glucose,10,0.990621243469882,0.00699017652080479,0.238304144157387,0.0548110226224556,0.0486067905667775,-0.123066400516706,0.0443520222224502,0.0730424030748644,0.056691200719996,-0.0987823898167183,0.0351155084454078,-0.0368630516145212,0.0671480460179788,-0.0559222355088025,0.0119843190902237,,,0.077044375004165,0.0635835030096592,-0.063608364585388,0.0612120250927856,,,-0.390901095958495,0.218068526087808,-0.0263827738001833,0.0767707244115827
NCM3722_1,glucoseCAA,10,1.33263347211208,0.0161030137455809,0.489238631957491,0.48431008851978,0.115429904965857,0.28769229287961,0.057094348691744,0.472141138876218,0.0492723614191044,0.480221044521935,0.0940517448333727,0.692454739376338,0.107553864013621,0.478886567906694,0.0605315481893394,,,0.433717482234217,0.0991204725877237,0.604486664924477,0.0658413608791116,,,0.353680611794421,0.124334380613374,0.313066805953316,0.0665778984943829
NCM3722_1,glycerol,10,0.675700534598965,0.00778565544797093,-0.276432817150324,0.0310307994458744,0.0896254043124794,0.123158777107641,0.0421453740816066,0.244958033439848,0.0419066854760891,0.0667225854858261,0.050921003025164,0.124467254121447,0.0989792926120953,0.115760229250439,0.0338381078424942,,,-0.0985249864413863,0.0660807410848395,0.0275594658223892,0.0320103986536124,,,0.0810740142731327,0.151971809507504,0.340503348490685,0.0535418457966528
NCM3722_1,malate,10,0.726912263279789,0.00681466218215976,-0.0940383274859663,0.0912318298600523,0.19011360118844,0.041546220123143,0.0804222637461238,-0.186163409830508,0.0872321467123245,-0.107127702257574,0.0821938037563388,0.0276223817939003,0.075609146886363,-0.126447961076119,0.0489764061028866,,,-0.0664389413490945,0.0567534699638078,0.00641030942340829,0.0515223661875562,,,0.108062432935084,0.18440886460381,0.0579170688104973,0.0454272392753393
NCM3722_1,succinate,10,0.727729112456129,0.0196632411556769,-0.0502753636986282,0.0266110685365465,0.151438041266284,0.0375466769354932,0.0949555657530294,-0.0898630670437628,0.0566119474452505,0.0287154706201171,0.0715814884318316,-0.0219219254824842,0.125195796701749,0.0140586454177557,0.0553380549042055,,,0.0853189706630804,0.0359834935589631,0.0420013333640869,0.0829353730521508,,,0.0461790367466413,0.204082474174866,0.219040328235717,0.0567345257136255
NCM3722_3,acetate,20200526,0.46313637133403,0.00538924256464992,-0.547072181455355,-0.549027009489828,0.0800899762763157,-0.507167150230923,0.0650281093194875,-0.289458852223089,0.088373263045315,-0.278903970259318,0.0668993785901725,-0.486656881957096,0.124363530696588,-0.480696092897205,0.245459705358193,-0.344113798001485,0.276643638209643,-0.363825761379056,0.0797530209974225,-0.550215311218036,0.0674323786063627,-0.141218660916717,0.304847925600603,-0.309882041764609,0.15626603144401,-0.320951112389159,0.0535688465225433
NCM3722_3,glucose,20200526,0.974726718075434,0.0086635841706156,0.13253366716554,0.12848972852069,0.0878326371379139,-0.0701451065817812,0.191189599812567,-0.0047277520080797,0.0466644206950671,-0.0308935098740554,0.1138065357435,0.00478101950267748,0.0984131599672851,0.0803606633654286,0.0471713267870756,0.110914808200037,0.169408934079593,0.190278887341234,0.0642208132878575,-0.0349935553279324,0.0839754556678401,-0.0813094895000413,0.306774704663088,-0.107482340673864,0.276493892654503,0.0483153795388624,0.0458112231661763
NCM3722_3,glucoseCAA,20200526,1.37571431639608,0.0142636888209845,0.550196834927881,0.588258245861327,0.0705763786041471,0.3255753963989,0.0639885569851008,0.437681673828934,0.0367321982582204,0.424803684390775,0.110527315817761,0.655129534956187,0.0802257042089613,0.441418099540207,0.0256358916719838,0.457397779600604,0.213384559320027,0.415500356268299,0.0701832392643818,0.595403728806147,0.0605178066223742,0.280193574439763,0.236329282021433,0.180611699229573,0.129058968807622,0.24960517897072,0.136556506521358
NCM3722_3,glycerol,20200526,0.612944364218899,0.0155018976086628,-0.156004854842449,-0.469510452777543,0.13409254951884,-0.340641397495279,0.122034411730496,-0.210655381281334,0.0711881005670897,-0.428181975217844,0.111397728178568,-0.449467555198339,0.0960169849926117,-0.505502214980139,0.140648764727647,-0.362197768820559,0.138931837360562,-0.545260732453856,0.0785072001095127,-0.525321494160845,0.0335558961393637,-0.439170805448805,0.22471003659767,-0.429771570085001,0.176099991649477,-0.389783375951968,0.0362374435698731
NCM3722_3,malate,20200526,0.752735261795283,0.0106562505671209,-0.0680376286683271,0.0437524660181101,0.0578164068233359,0.151843980837653,0.180809159036379,-0.0709876697575776,0.0950674441870781,-0.0374154160668748,0.10581758537355,-0.049535238423946,0.107782485065084,0.0540994475810679,0.0515704304970111,-0.071572051023352,0.156392946179161,-0.00970841892122538,0.084052483112794,0.104453858884874,0.134567946221106,0.0928711499485824,0.374210153737434,0.316205851605138,0.165382172061703,0.121292511438021,0.0428840040326992
NCM3722_3,succinate,20200526,0.70244738387281,0.00936899196544456,-0.146167219472448,-0.0605904591573313,0.0620394535997851,0.222143434915513,0.117696986862648,0.0121240064111271,0.0554438336492507,0.165244944613522,0.129851507591502,-0.0040410269582146,0.0792020869822139,0.149448981139528,0.128591180816546,-0.0291635472134947,0.195571437918684,0.086906744936232,0.0798503937049885,0.0714579300381386,0.0818283522321047,-0.00611594593162567,0.377292088277413,0.114586910620969,0.366766732289812,0.160267955441821,0.0965176275476428
