"BestGeneration","BestBeta","BestScore"
1,703.2002922890294,0.12316569675457596
2,703.2002922890294,0.12316569675457596
3,703.2002922890294,0.12316569675457596
4,724.6675900189323,0.12316577954635122
5,724.6675900189323,0.12316577954635122
6,725.0903842617812,0.1231657871129013
7,725.0903842617812,0.1231657871129013
8,725.0903842617812,0.1231657871129013
9,725.0903842617812,0.1231657871129013
10,725.0903842617812,0.1231657871129013
11,725.0903842617812,0.1231657871129013
12,732.4693351978286,0.12316578752972876
13,732.4693351978286,0.12316578752972876
14,732.4693351978286,0.12316578752972876
15,732.4693351978286,0.12316578752972876
16,732.4693351978286,0.12316578752972876
17,732.4693351978286,0.12316578752972876
18,726.7658900751101,0.12316579240673238
19,726.7658900751101,0.12316579240673238
20,726.7658900751101,0.12316579240673238
21,726.7658900751101,0.12316579240673238
22,726.7658900751101,0.12316579240673238
23,726.7658900751101,0.12316579240673238
24,726.7658900751101,0.12316579240673238
25,733.2153140829652,0.12316579423648566
26,733.2153140829652,0.12316579423648566
27,733.2153140829652,0.12316579423648566
28,733.2153140829652,0.12316579423648566
29,732.5624303820018,0.12316579717830811
30,732.5624303820018,0.12316579717830811
31,731.4437402554878,0.12316579810349311
32,731.443758613419,0.12316579810349311
33,731.44375634699,0.12316579810349311
34,731.4101727308725,0.12316579810349311
35,731.4111684892596,0.12316579909136485
36,731.4111981502028,0.12316579909136485
37,732.0516199197097,0.12316579909136485
38,732.0494764010405,0.12316579996618418
39,732.0495055524729,0.12316579996618418
40,732.0508577537757,0.12316579996618418
41,731.4394849853176,0.12316579996618418
42,731.4394849853176,0.12316579996618418
